countyname,canonical,n,median_floor_area_m2,pct_masonry,pct_pre1945
Co. Laois,Detached,5539,174.54,74.21917313594511,12.854305831377506
Co. Laois,Semi-Detached,8002,103.82,58.77280679830042,5.236190952261934
Co. Laois,Terrace,3183,90.99,57.587181903864284,13.446434181589694
Co. Leitrim,Apartment,948,75.195,62.552742616033754,9.177215189873419
Co. Leitrim,Bungalow,2584,107.57,80.88235294117648,21.904024767801857
Co. Leitrim,Detached,3705,165.0,78.51551956815115,20.29689608636977
Co. Leitrim,Semi-Detached,2083,104.47,78.25252040326453,4.896783485357657
Co. Leitrim,Terrace,1114,93.93,64.27289048473968,19.03052064631957
Co. Limerick,Apartment,3254,70.545,54.67117393976644,8.758451137062078
Co. Limerick,Bungalow,6222,119.35499999999999,87.0781099324976,15.300546448087433
Co. Limerick,Detached,8862,188.905,83.13021891220943,17.953058000451367
Co. Limerick,Semi-Detached,8259,106.52,73.28974452112847,4.613149291681801
Co. Limerick,Terrace,5048,89.545,73.23692551505546,18.42313787638669
Co. Longford,Apartment,1014,64.745,57.29783037475345,8.678500986193294
Co. Longford,Bungalow,2634,111.47999999999999,79.42293090356871,19.627942293090356
Co. Longford,Detached,3340,175.4075,77.90419161676647,14.550898203592814
Co. Longford,Semi-Detached,2954,98.71000000000001,62.93161814488829,3.3852403520649963
Co. Longford,Terrace,2164,85.0,48.336414048059154,7.902033271719039
Co. Louth,Apartment,5096,71.56,47.42935635792779,8.084772370486656
Co. Louth,Bungalow,3798,123.22,76.69826224328594,14.84992101105845
Co. Louth,Detached,8404,185.845,71.27558305568776,9.126606377915278
Co. Louth,Semi-Detached,12386,107.565,60.342321976425,5.619247537542386
Co. Louth,Terrace,11257,86.16,62.8675490805721,17.997690326019367
Co. Mayo,Apartment,3071,68.59,64.63692608270921,11.85281667209378
Co. Mayo,Bungalow,10815,112.7,81.11881645862229,23.319463707813224
Co. Mayo,Detached,11489,188.06,81.26903995125772,11.56758638697885
Co. Mayo,Semi-Detached,7532,103.99,85.72756240042484,4.713223579394583
Co. Mayo,Terrace,4114,85.59,81.72095284394749,23.91832766164317
Co. Meath,Apartment,7002,75.0,39.702942016566695,3.0991145387032275
Co. Meath,Bungalow,6767,123.14,68.84882518102556,17.777449386729717
Co. Meath,Detached,14141,186.46,62.14553426207482,8.436461353511067
Co. Meath,Semi-Detached,19675,115.0,56.487928843710286,2.0889453621346887
Co. Meath,Terrace,9868,100.42,49.777057154438594,4.52979327117957
Co. Monaghan,Apartment,1015,63.3,58.7192118226601,24.334975369458128
Co. Monaghan,Bungalow,2136,121.195,79.54119850187266,14.04494382022472
Co. Monaghan,Detached,4563,202.02,72.07977207977207,16.370808678500985
Co. Monaghan,Semi-Detached,3370,99.96,69.85163204747774,4.807121661721069
Co. Monaghan,Terrace,2423,85.66,71.19273627734214,24.30870821295914
Co. Offaly,Apartment,1390,64.19,55.827338129496404,18.77697841726619
Co. Offaly,Bungalow,4339,122.06,80.5946070523162,15.602673427056926
Co. Offaly,Detached,4505,195.57,76.75915649278579,12.608213096559378
Co. Offaly,Semi-Detached,6071,98.87,66.23291055839235,9.751276560698402
Co. Offaly,Terrace,2876,88.635,64.01251738525731,18.636995827538247
Co. Roscommon,Apartment,993,71.42,68.58006042296071,14.70292044310171
Co. Roscommon,Bungalow,5202,113.47999999999999,82.0645905420992,21.972318339100347
Co. Roscommon,Detached,5487,179.26,80.95498450883908,19.35483870967742
Co. Roscommon,Semi-Detached,3879,102.73,80.5877803557618,5.104408352668213
Co. Roscommon,Terrace,1318,94.22,78.30045523520485,23.975720789074355
Co. Sligo,Apartment,2917,70.95,57.216318135070274,5.210833047651697
Co. Sligo,Bungalow,3869,113.81,78.444042388214,24.890152494184544
Co. Sligo,Detached,5425,182.23,75.02304147465438,13.714285714285715
Co. Sligo,Semi-Detached,5483,103.1,73.95586357833302,6.60222505927412
Co. Sligo,Terrace,3063,84.68,62.81423441070846,24.224616389160953
Co. Tipperary,Apartment,2458,59.65,66.27339300244101,26.403580146460538
Co. Tipperary,Bungalow,8786,118.37,84.39562941042567,16.5832005463237
Co. Tipperary,Detached,12404,179.23,80.9577555627217,21.557562076749438
Co. Tipperary,Semi-Detached,10972,95.76,74.0885891359825,8.384979948960991
Co. Tipperary,Terrace,7818,83.4,74.82732156561781,27.64134049629061
Co. Waterford,Apartment,1521,64.42,57.59368836291914,22.287968441814595
Co. Waterford,Bungalow,4265,124.36,78.05392731535757,17.491207502930834
Co. Waterford,Detached,5008,193.305,76.1182108626198,13.498402555910543
Co. Waterford,Semi-Detached,6204,103.685,69.27788523533205,4.513217279174726
Co. Waterford,Terrace,3537,83.34,72.54735651682218,33.33333333333333
Co. Westmeath,Apartment,3805,67.78,45.36136662286465,6.701708278580814
Co. Westmeath,Bungalow,4584,118.86,73.49476439790575,15.270506108202445
Co. Westmeath,Detached,5935,187.47,70.80033698399326,15.922493681550126
Co. Westmeath,Semi-Detached,7575,110.37,62.2970297029703,5.636963696369636
Co. Westmeath,Terrace,3544,88.61,57.872460496613996,17.494356659142213
Co. Wexford,Apartment,3907,69.37,54.74788840542616,13.872536472997185
Co. Wexford,Bungalow,8373,121.1,74.99104263704766,6.819538994386718
Co. Wexford,Detached,15944,173.39499999999998,73.8020572002007,13.246362267937783
