source,canonical_type,metric,depth_m,damage_ratio
JRC_NorthAmerica_D19,Terrace,value_ratio,2.0,0.784
JRC_NorthAmerica_D19,Terrace,value_ratio,2.5,0.8192
JRC_NorthAmerica_D19,Terrace,value_ratio,3.0,0.8543
JRC_NorthAmerica_D19,Apartment,value_ratio,0.0,0.2018
JRC_NorthAmerica_D19,Apartment,value_ratio,0.25,0.3225
JRC_NorthAmerica_D19,Apartment,value_ratio,0.5,0.4433
JRC_NorthAmerica_D19,Apartment,value_ratio,0.75,0.513
JRC_NorthAmerica_D19,Apartment,value_ratio,1.0,0.5828
JRC_NorthAmerica_D19,Apartment,value_ratio,1.25,0.6326
JRC_NorthAmerica_D19,Apartment,value_ratio,1.5,0.6825
JRC_NorthAmerica_D19,Apartment,value_ratio,2.0,0.784
JRC_NorthAmerica_D19,Apartment,value_ratio,2.5,0.8192
JRC_NorthAmerica_D19,Apartment,value_ratio,3.0,0.8543
JRC_Oceania_D19,Detached,value_ratio,0.0,0.0
JRC_Oceania_D19,Detached,value_ratio,0.25,0.2377
JRC_Oceania_D19,Detached,value_ratio,0.5,0.4754
JRC_Oceania_D19,Detached,value_ratio,0.75,0.5579
JRC_Oceania_D19,Detached,value_ratio,1.0,0.6404
JRC_Oceania_D19,Detached,value_ratio,1.25,0.6775
JRC_Oceania_D19,Detached,value_ratio,1.5,0.7146
JRC_Oceania_D19,Detached,value_ratio,2.0,0.7877
JRC_Oceania_D19,Detached,value_ratio,2.5,0.8583
JRC_Oceania_D19,Detached,value_ratio,3.0,0.9288
JRC_Oceania_D19,Bungalow,value_ratio,0.0,0.0
JRC_Oceania_D19,Bungalow,value_ratio,0.25,0.2377
JRC_Oceania_D19,Bungalow,value_ratio,0.5,0.4754
JRC_Oceania_D19,Bungalow,value_ratio,0.75,0.5579
JRC_Oceania_D19,Bungalow,value_ratio,1.0,0.6404
JRC_Oceania_D19,Bungalow,value_ratio,1.25,0.6775
JRC_Oceania_D19,Bungalow,value_ratio,1.5,0.7146
JRC_Oceania_D19,Bungalow,value_ratio,2.0,0.7877
JRC_Oceania_D19,Bungalow,value_ratio,2.5,0.8583
JRC_Oceania_D19,Bungalow,value_ratio,3.0,0.9288
JRC_Oceania_D19,Semi-Detached,value_ratio,0.0,0.0
JRC_Oceania_D19,Semi-Detached,value_ratio,0.25,0.2377
JRC_Oceania_D19,Semi-Detached,value_ratio,0.5,0.4754
JRC_Oceania_D19,Semi-Detached,value_ratio,0.75,0.5579
JRC_Oceania_D19,Semi-Detached,value_ratio,1.0,0.6404
JRC_Oceania_D19,Semi-Detached,value_ratio,1.25,0.6775
JRC_Oceania_D19,Semi-Detached,value_ratio,1.5,0.7146
JRC_Oceania_D19,Semi-Detached,value_ratio,2.0,0.7877
JRC_Oceania_D19,Semi-Detached,value_ratio,2.5,0.8583
JRC_Oceania_D19,Semi-Detached,value_ratio,3.0,0.9288
JRC_Oceania_D19,Terrace,value_ratio,0.0,0.0
JRC_Oceania_D19,Terrace,value_ratio,0.25,0.2377
JRC_Oceania_D19,Terrace,value_ratio,0.5,0.4754
JRC_Oceania_D19,Terrace,value_ratio,0.75,0.5579
JRC_Oceania_D19,Terrace,value_ratio,1.0,0.6404
JRC_Oceania_D19,Terrace,value_ratio,1.25,0.6775
JRC_Oceania_D19,Terrace,value_ratio,1.5,0.7146
JRC_Oceania_D19,Terrace,value_ratio,2.0,0.7877
JRC_Oceania_D19,Terrace,value_ratio,2.5,0.8583
JRC_Oceania_D19,Terrace,value_ratio,3.0,0.9288
JRC_Oceania_D19,Apartment,value_ratio,0.0,0.0
JRC_Oceania_D19,Apartment,value_ratio,0.25,0.2377
JRC_Oceania_D19,Apartment,value_ratio,0.5,0.4754
JRC_Oceania_D19,Apartment,value_ratio,0.75,0.5579
JRC_Oceania_D19,Apartment,value_ratio,1.0,0.6404
JRC_Oceania_D19,Apartment,value_ratio,1.25,0.6775
JRC_Oceania_D19,Apartment,value_ratio,1.5,0.7146
JRC_Oceania_D19,Apartment,value_ratio,2.0,0.7877
JRC_Oceania_D19,Apartment,value_ratio,2.5,0.8583
JRC_Oceania_D19,Apartment,value_ratio,3.0,0.9288
OS2_coastal_shape,Detached,shape_normalised,0.0,0.0
OS2_coastal_shape,Detached,shape_normalised,0.25,0.5235
OS2_coastal_shape,Detached,shape_normalised,0.5,0.6564
OS2_coastal_shape,Detached,shape_normalised,0.75,0.7342
OS2_coastal_shape,Detached,shape_normalised,1.0,0.7893
OS2_coastal_shape,Detached,shape_normalised,1.25,0.8321
OS2_coastal_shape,Detached,shape_normalised,1.5,0.8671
OS2_coastal_shape,Detached,shape_normalised,2.0,0.9222
OS2_coastal_shape,Detached,shape_normalised,2.5,0.965
OS2_coastal_shape,Detached,shape_normalised,3.0,1.0
OS2_coastal_shape,Semi-Detached,shape_normalised,0.0,0.0
OS2_coastal_shape,Semi-Detached,shape_normalised,0.25,0.5235
OS2_coastal_shape,Semi-Detached,shape_normalised,0.5,0.6564
OS2_coastal_shape,Semi-Detached,shape_normalised,0.75,0.7342
OS2_coastal_shape,Semi-Detached,shape_normalised,1.0,0.7893
OS2_coastal_shape,Semi-Detached,shape_normalised,1.25,0.8321
OS2_coastal_shape,Semi-Detached,shape_normalised,1.5,0.8671
OS2_coastal_shape,Semi-Detached,shape_normalised,2.0,0.9222
OS2_coastal_shape,Semi-Detached,shape_normalised,2.5,0.965
OS2_coastal_shape,Semi-Detached,shape_normalised,3.0,1.0
OS2_coastal_shape,Terrace,shape_normalised,0.0,0.0
OS2_coastal_shape,Terrace,shape_normalised,0.25,0.5235
OS2_coastal_shape,Terrace,shape_normalised,0.5,0.6564
OS2_coastal_shape,Terrace,shape_normalised,0.75,0.7342
OS2_coastal_shape,Terrace,shape_normalised,1.0,0.7893
OS2_coastal_shape,Terrace,shape_normalised,1.25,0.8321
OS2_coastal_shape,Terrace,shape_normalised,1.5,0.8671
OS2_coastal_shape,Terrace,shape_normalised,2.0,0.9222
OS2_coastal_shape,Terrace,shape_normalised,2.5,0.965
OS2_coastal_shape,Terrace,shape_normalised,3.0,1.0
OS2_coastal_shape,Apartment,shape_normalised,0.0,0.0
OS2_coastal_shape,Apartment,shape_normalised,0.25,0.5235
OS2_coastal_shape,Apartment,shape_normalised,0.5,0.6564
OS2_coastal_shape,Apartment,shape_normalised,0.75,0.7342
OS2_coastal_shape,Apartment,shape_normalised,1.0,0.7893
OS2_coastal_shape,Apartment,shape_normalised,1.25,0.8321
OS2_coastal_shape,Apartment,shape_normalised,1.5,0.8671
OS2_coastal_shape,Apartment,shape_normalised,2.0,0.9222
OS2_coastal_shape,Apartment,shape_normalised,2.5,0.965
OS2_coastal_shape,Apartment,shape_normalised,3.0,1.0
OS2_pluvial_shape,Detached,shape_normalised,0.0,1.0
OS2_pluvial_shape,Detached,shape_normalised,0.25,1.0
OS2_pluvial_shape,Detached,shape_normalised,0.5,1.0
OS2_pluvial_shape,Detached,shape_normalised,0.75,1.0
OS2_pluvial_shape,Detached,shape_normalised,1.0,1.0
OS2_pluvial_shape,Detached,shape_normalised,1.25,1.0
OS2_pluvial_shape,Detached,shape_normalised,1.5,1.0
OS2_pluvial_shape,Detached,shape_normalised,2.0,1.0
OS2_pluvial_shape,Detached,shape_normalised,2.5,1.0
OS2_pluvial_shape,Detached,shape_normalised,3.0,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,0.0,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,0.25,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,0.5,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,0.75,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,1.0,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,1.25,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,1.5,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,2.0,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,2.5,1.0
OS2_pluvial_shape,Semi-Detached,shape_normalised,3.0,1.0
OS2_pluvial_shape,Terrace,shape_normalised,0.0,1.0
OS2_pluvial_shape,Terrace,shape_normalised,0.25,1.0
OS2_pluvial_shape,Terrace,shape_normalised,0.5,1.0
OS2_pluvial_shape,Terrace,shape_normalised,0.75,1.0
